port,corruption,compliant,psma,mcs,traffic,hotspot,fv_traffic,accessibility,entry,comms,supplies,foc_visits,china,dc_china,mcs2,foc_visits3,foc_visits2,traffic2,trafficx,fv_trafficx,fv_traffic2,fv_traffic3,hotspot2
PUNTA ARENAS,67,4,1,2,19,416,3,0,1,5,5,6,0,0,1,2,1,2,1,1,1,1,1
QINGDAO,45,3,0,5,318,1703,20,3,1,3,3,6,1,1,1,2,1,4,1,1,2,2,3
YOKOSUKA,73,5,1,1,22,533,1,0,1,6,3,6,0,0,0,2,1,2,1,1,1,1,1
BISSAU,21,1,0,1,3,6,1,1,1,4,4,5,0,0,0,2,1,1,1,1,1,1,1
CONAKRY,25,1,1,1,4,89,1,1,1,4,3,5,0,1,0,2,1,1,1,1,1,1,1
DUTCH HARBOR,69,1,1,1,36,594,0,0,0,5,4,5,0,0,0,2,1,3,1,0,1,1,1
YANTAI,45,3,0,5,203,1758,2,2,0,4,4,5,1,1,1,2,1,4,1,1,1,1,3
DURBAN,43,4,1,3,60,296,5,2,1,5,5,4,1,1,1,2,1,3,1,1,1,1,1
MANTA,36,1,1,2,15,260,0,1,1,6,5,4,0,0,1,2,1,2,1,0,1,1,1
MONROVIA,26,3,1,1,5,396,0,1,1,5,5,4,0,0,0,2,1,1,1,0,1,1,1
QUANZHOU,45,3,0,5,1277,1948,1149,1,1,2,3,4,1,1,1,2,1,4,1,1,3,4,3
SENDAI,73,5,1,1,28,337,0,1,1,6,4,4,0,0,0,2,1,3,1,0,1,1,1
